Canada|North America|1|1.0023917066119762e-07
South Africa|Africa|54978907|44.98274217269589
Indonesia|Asia|260581100|144.00000017683556
Brazil|South America|193364000|22.716728745947616
Japan|Asia|127380000|337.13128746675136
Mexico|North America|128632004|65.3209398374419
South Korea|Asia|50503933|514.9420781158299
Nigeria|Africa|186987563|205.00000082224722
Italy|Europe|59801004|199.33668
France|Europe|64668129|119.38949861901474
Egypt|Africa|93383574|93.383574
Colombia|South America|48654392|44.59985937049988
United States of America|North America|309975000|32.19151215831276
China|Asia|1339190000|139.5431469965489
